model,context_target,context_length,nominal_budget,effective_budget,effective_tokens,iso_condition,quant_bits,quant_byte_cost,physical_byte_cost,arm,arm_label,protection,eviction,promotion,promotion_id,full_fraction,recency_window,sink,seed,accuracy,k,n_turns,n_full,n_quant,bytes,n_protected_lines,oracle_oversubscribed,dormancy_events,dormancy_max_run,quant_calls,quant_violations,quant_max_levels
Qwen/Qwen2.5-1.5B-Instruct,1029,1029,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,0,0.0,0,6,128,129,160.25,9,False,0,0,2296,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1027,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,1,0.0,0,6,128,129,160.25,9,False,0,0,5040,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1028,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,2,0.0,0,6,128,129,160.25,9,False,0,0,5096,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1033,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,3,0.0,0,6,128,129,160.25,9,False,0,0,2968,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1029,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,4,0.0,0,6,128,129,160.25,9,False,0,0,5208,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1025,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,5,0.0,0,6,128,129,160.25,9,False,0,0,1008,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1023,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,6,0.0,0,6,128,129,160.25,9,False,0,0,1176,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1028,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,7,0.0,0,6,128,129,160.25,9,False,0,0,2352,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1029,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,8,0.0,0,6,128,129,160.25,9,False,0,0,5432,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,9,0.0,0,6,128,129,160.25,9,False,0,0,952,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1018,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,10,0.0,0,6,128,129,160.25,9,False,0,0,3920,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1029,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,11,0.0,0,6,128,129,160.25,9,False,0,0,896,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1007,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,12,0.0,0,6,128,129,160.25,9,False,0,0,616,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1031,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,13,0.0,0,6,128,129,160.25,9,False,0,0,2240,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1032,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,14,0.0,0,6,128,129,160.25,9,False,0,0,2296,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1008,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,15,0.0,0,6,128,129,160.25,9,False,0,0,728,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1036,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,16,0.0,0,6,128,129,160.25,9,False,0,0,3192,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1031,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,17,0.0,0,6,128,129,160.25,9,False,0,0,728,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1031,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,18,0.0,0,6,128,129,160.25,9,False,0,0,728,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1027,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,19,0.0,0,6,128,129,160.25,9,False,0,0,840,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1035,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,20,0.0,0,6,128,129,160.25,8,False,0,0,4256,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1027,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,21,0.0,0,6,128,129,160.25,9,False,0,0,1176,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1037,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,22,0.0,0,6,128,129,160.25,9,False,0,0,1904,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1036,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,23,0.0,0,6,128,129,160.25,9,False,0,0,2240,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1038,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,24,0.0,0,6,128,129,160.25,8,False,0,0,1848,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1029,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,25,0.0,0,6,128,129,160.25,9,False,0,0,5096,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1027,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,26,0.0,0,6,128,129,160.25,9,False,0,0,1400,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,257,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,27,0.0,0,6,128,129,160.25,9,False,0,0,616,0,8
Qwen/Qwen2.5-1.5B-Instruct,1029,1034,257,257,258,iso_token,3,0.25,0.1875,4,structural/tiered,structural,tiered,attention,P1,0.5,64,1,28,0.0,0,6,128,129,160.25,9,False,0,0,3080,0,8
