budget,contrast,label,n,mean_a,mean_b,mean_diff,median_diff,median_ci_lo,median_ci_hi,mean_ci_lo,mean_ci_hi,n_differ,n_a_better,n_b_better,p_perm,p_bh,median_ci_zero_width,equivalent_at_005
154,protection / permanent,b154 protection / permanent,150,0.02666666666666667,0.0,0.02666666666666667,0.0,0.0,0.0,0.017777777777777778,0.03666666666666667,24,24,0,9.999000099990002e-05,0.00014998500149985002,True,True
154,protection / tiered,b154 protection / tiered,150,0.02,0.0,0.02,0.0,0.0,0.0,0.01111111111111111,0.028888888888888888,18,18,0,9.999000099990002e-05,0.00014998500149985002,True,True
154,tiering / unprotected,b154 tiering / unprotected,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,True,True
154,tiering / protected,b154 tiering / protected,150,0.02,0.02666666666666667,-0.006666666666666667,0.0,0.0,0.0,-0.012222222222222221,-0.0022222222222222222,6,0,6,0.032296770322967704,0.0430623604306236,True,True
257,protection / permanent,b257 protection / permanent,150,0.16555555555555554,0.0011111111111111111,0.16444444444444442,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.14888888888888888,0.18,122,122,0,9.999000099990002e-05,0.00014998500149985002,True,False
257,protection / tiered,b257 protection / tiered,150,0.18111111111111108,0.0033333333333333335,0.17777777777777776,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.15333333333333332,0.20222222222222222,106,104,2,9.999000099990002e-05,0.00014998500149985002,True,False
257,tiering / unprotected,b257 tiering / unprotected,150,0.0033333333333333335,0.0011111111111111111,0.0022222222222222222,0.0,0.0,0.0,0.0,0.005555555555555555,2,2,0,0.5054494550544946,0.551399405513994,True,True
257,tiering / protected,b257 tiering / protected,150,0.18111111111111108,0.16555555555555554,0.015555555555555557,0.0,0.0,0.0,-0.006666666666666662,0.03666666666666667,69,39,30,0.1847815218478152,0.22173782621737823,True,True
514,protection / permanent,b514 protection / permanent,150,0.4122222222222222,0.09666666666666666,0.3155555555555556,0.33333333333333337,0.3333333333333333,0.33333333333333337,0.29,0.3411111111111111,141,141,0,9.999000099990002e-05,0.00014998500149985002,False,False
514,protection / tiered,b514 protection / tiered,150,0.24,0.04,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.17111111111111113,0.23,114,107,7,9.999000099990002e-05,0.00014998500149985002,True,False
514,tiering / unprotected,b514 tiering / unprotected,150,0.04,0.09666666666666666,-0.056666666666666664,0.0,0.0,0.0,-0.06888888888888887,-0.04444444444444444,51,0,51,9.999000099990002e-05,0.00014998500149985002,True,False
514,tiering / protected,b514 tiering / protected,150,0.24,0.4122222222222222,-0.17222222222222222,-0.16666666666666666,-0.16666666666666669,-0.16666666666666666,-0.1988888888888889,-0.14555555555555555,110,6,104,9.999000099990002e-05,0.00014998500149985002,False,False
