  [20/100]
  [40/100]
  [60/100]
  [80/100]
  [100/100]

meta-llama/Llama-3.2-3B-Instruct   n=100 instances
Of queried records scored INCOMPLETE by majority vote, what fraction are complete in >= 1 slot?
    C arm              n_incomplete n_any_complete   fraction
   16 floor_pos                 383              0     0.0000
   16 snapkv                    388              6     0.0155
   16 expected_attn             389              0     0.0000
   16 keydiff                   389              0     0.0000
   16 adakv_snapkv              388             18     0.0464

   32 floor_pos                 381              0     0.0000
   32 snapkv                    385             10     0.0260
   32 expected_attn             389              0     0.0000
   32 keydiff                   389              0     0.0000
   32 adakv_snapkv              388             29     0.0747

   64 floor_pos                 367              0     0.0000
   64 snapkv                    384             28     0.0729
   64 expected_attn             389              1     0.0026
   64 keydiff                   389              0     0.0000
   64 adakv_snapkv              385             36     0.0935

  128 floor_pos                 358              0     0.0000
  128 snapkv                    380             71     0.1868
  128 expected_attn             389              2     0.0051
  128 keydiff                   389              0     0.0000
  128 adakv_snapkv              382             75     0.1963

  256 floor_pos                 333              0     0.0000
  256 snapkv                    371            197     0.5310
  256 expected_attn             389              7     0.0180
  256 keydiff                   389              7     0.0180
  256 adakv_snapkv              377            180     0.4775

  512 floor_pos                 289              0     0.0000
  512 snapkv                    359            315     0.8774
  512 expected_attn             389             57     0.1465
  512 keydiff                   389             26     0.0668
  512 adakv_snapkv              364            341     0.9368

