  PREREG_P3.md verified at c920c404fd43777e522916ef0188362805a958aa7253512ec2be40641a846eee
  anchors M2: 17 cells, 25 arm-cells, n=100 -> 2500 rows (0 already present)
  [anchors/M2] inst 5/100  written 125 skipped 0 failed 0  3.3 min  1.60 s/row  eta 63.3 min
  [anchors/M2] inst 10/100  written 250 skipped 0 failed 0  6.6 min  1.57 s/row  eta 59.0 min
  [anchors/M2] inst 15/100  written 375 skipped 0 failed 0  9.6 min  1.54 s/row  eta 54.5 min
  [anchors/M2] inst 20/100  written 500 skipped 0 failed 0  12.9 min  1.55 s/row  eta 51.5 min
  [anchors/M2] inst 25/100  written 625 skipped 0 failed 0  16.2 min  1.55 s/row  eta 48.5 min
  [anchors/M2] inst 30/100  written 750 skipped 0 failed 0  19.5 min  1.56 s/row  eta 45.5 min
  [anchors/M2] inst 35/100  written 875 skipped 0 failed 0  22.7 min  1.56 s/row  eta 42.2 min
  [anchors/M2] inst 40/100  written 1000 skipped 0 failed 0  26.0 min  1.56 s/row  eta 39.0 min
  [anchors/M2] inst 45/100  written 1125 skipped 0 failed 0  29.4 min  1.57 s/row  eta 35.9 min
  [anchors/M2] inst 50/100  written 1250 skipped 0 failed 0  32.6 min  1.56 s/row  eta 32.6 min
  [anchors/M2] inst 55/100  written 1375 skipped 0 failed 0  36.0 min  1.57 s/row  eta 29.4 min
  [anchors/M2] inst 60/100  written 1500 skipped 0 failed 0  39.1 min  1.57 s/row  eta 26.1 min
  [anchors/M2] inst 65/100  written 1625 skipped 0 failed 0  42.4 min  1.56 s/row  eta 22.8 min
  [anchors/M2] inst 70/100  written 1750 skipped 0 failed 0  45.6 min  1.56 s/row  eta 19.5 min
  [anchors/M2] inst 75/100  written 1875 skipped 0 failed 0  49.0 min  1.57 s/row  eta 16.3 min
  [anchors/M2] inst 80/100  written 2000 skipped 0 failed 0  52.2 min  1.57 s/row  eta 13.1 min
  [anchors/M2] inst 85/100  written 2125 skipped 0 failed 0  55.5 min  1.57 s/row  eta 9.8 min
  [anchors/M2] inst 90/100  written 2250 skipped 0 failed 0  58.9 min  1.57 s/row  eta 6.5 min
  [anchors/M2] inst 95/100  written 2375 skipped 0 failed 0  62.1 min  1.57 s/row  eta 3.3 min
  [anchors/M2] inst 100/100  written 2500 skipped 0 failed 0  65.5 min  1.57 s/row  eta 0.0 min
  DONE anchors/M2: written 2500 skipped 0 failed 0 in 65.5 min
