  PREREG_P3.md verified at c920c404fd43777e522916ef0188362805a958aa7253512ec2be40641a846eee
  kaxis M3: 4 cells, 24 arm-cells, n=100 -> 2400 rows (0 already present)
  [kaxis/M3] inst 5/100  written 120 skipped 0 failed 0  3.7 min  1.83 s/row  eta 69.7 min
  [kaxis/M3] inst 10/100  written 240 skipped 0 failed 0  7.2 min  1.79 s/row  eta 64.5 min
  [kaxis/M3] inst 15/100  written 360 skipped 0 failed 0  10.6 min  1.77 s/row  eta 60.3 min
  [kaxis/M3] inst 20/100  written 480 skipped 0 failed 0  14.1 min  1.76 s/row  eta 56.5 min
  [kaxis/M3] inst 25/100  written 600 skipped 0 failed 0  17.8 min  1.78 s/row  eta 53.5 min
  [kaxis/M3] inst 30/100  written 720 skipped 0 failed 0  21.3 min  1.78 s/row  eta 49.7 min
  [kaxis/M3] inst 35/100  written 840 skipped 0 failed 0  24.9 min  1.78 s/row  eta 46.2 min
  [kaxis/M3] inst 40/100  written 960 skipped 0 failed 0  28.4 min  1.78 s/row  eta 42.7 min
  [kaxis/M3] inst 45/100  written 1080 skipped 0 failed 0  32.0 min  1.78 s/row  eta 39.1 min
  [kaxis/M3] inst 50/100  written 1200 skipped 0 failed 0  35.7 min  1.78 s/row  eta 35.7 min
  [kaxis/M3] inst 55/100  written 1320 skipped 0 failed 0  39.1 min  1.78 s/row  eta 32.0 min
  [kaxis/M3] inst 60/100  written 1440 skipped 0 failed 0  42.8 min  1.78 s/row  eta 28.5 min
  [kaxis/M3] inst 65/100  written 1560 skipped 0 failed 0  46.3 min  1.78 s/row  eta 24.9 min
  [kaxis/M3] inst 70/100  written 1680 skipped 0 failed 0  49.9 min  1.78 s/row  eta 21.4 min
  [kaxis/M3] inst 75/100  written 1800 skipped 0 failed 0  53.6 min  1.79 s/row  eta 17.9 min
  [kaxis/M3] inst 80/100  written 1920 skipped 0 failed 0  57.3 min  1.79 s/row  eta 14.3 min
  [kaxis/M3] inst 85/100  written 2040 skipped 0 failed 0  60.9 min  1.79 s/row  eta 10.7 min
  [kaxis/M3] inst 90/100  written 2160 skipped 0 failed 0  64.4 min  1.79 s/row  eta 7.2 min
  [kaxis/M3] inst 95/100  written 2280 skipped 0 failed 0  68.1 min  1.79 s/row  eta 3.6 min
  [kaxis/M3] inst 100/100  written 2400 skipped 0 failed 0  71.8 min  1.80 s/row  eta 0.0 min
  DONE kaxis/M3: written 2400 skipped 0 failed 0 in 71.8 min
